Sheet,Column,Description,Data Type,
Attendance,Park_Name,Name of the National Park,VARCHAR,
Attendance,State,U.S. state abbreviation,VARCHAR,
Attendance,Year,Calendar year,INT,
Attendance,Month,Month (1-12),INT,
Attendance,Recreation_Visits,Number of recreational visitors in given year and month,INT,
Attendance,Unit Code,National Park Service (NPS) unit identifier,INT,
Attendance,Park Type,Type of park unit,VARCHAR,
Attendance,Region,NPS administrative region,VARCHAR,
Attendance,Visitor_Center,The National Park's primary visitor center,VARCHAR,
Attendance,Nearest_Airport,Closest airport,VARCHAR,
Attendance,Distance_Miles,Distance to airport in miles,FLOAT,
Attendance,Drive_Time_Hours,Estimated travel time in hours,FLOAT,
Attendance,Drive_Time_Hours_(Adjusted_for_scale),Scaled travel time adjustment used for a visualization,FLOAT,
Location,Park_Name,Name of the National Park,VARCHAR,
Location,Drive_Time_Hours,Estimated travel time in hours,INT,
Location,Park_Attendance_Totals,Park attendance totals (each park's total attendence from 1995-2025),INT,
Location,Visitor_Center,The National Park's primary visitor center,VARCHAR,
Location,Nearest_Airport,Closest airport,VARCHAR,
Location,Distance_Miles,Distance to airport in miles,FLOAT,
Location,Distance_Kilometers,Distance to airport in kilometers,FLOAT,
Location,Drive_Time_Hours_(Adjusted_for_scale),Scaled travel time adjustment used for a visualization,FLOAT,
Location,Visitor_Center_Latitude,The location of the National Park's primary visitor center (latitude coordinate),FLOAT,
Location,Visitor_Center_Longitude,The location of the National Park's primary visitor center (longitude coordinate),FLOAT,
Location,Airport_Latitude,The location of the National Park's closest international airport (latitude coordinate),FLOAT,
Location,Airport_Longitude,The location of the National Park's closest international airport (longitude coordinate),FLOAT,
Pivot Table,Park_Name,Name of the National Park,VARCHAR,
Pivot Table,Park_Attendance_Totals,Park attendance totals (each park's total attendence from 1995-2025),INT,
